,y,D,ite
468,0.0,0,3.0
469,30.0,0,0.0
470,0.0,0,24.0
471,15.0,0,-15.0
472,0.0,0,31.0
473,12.0,0,-12.0
474,0.0,0,31.0
475,0.0,0,21.0
476,4.0,0,-4.0
477,1.0,0,30.0
478,27.0,0,-27.0
479,0.0,0,0.0
480,17.0,0,4.0
481,31.0,0,0.0
482,0.0,0,5.0
483,26.0,0,5.0
484,3.0,0,11.0
485,1.0,0,0.0
486,0.0,0,0.0
487,27.0,0,-9.0
488,1.0,0,23.0
489,0.0,0,0.0
490,0.0,0,2.0
491,0.0,0,0.0
492,0.0,1,-2.0
493,0.0,1,0.0
494,26.0,0,5.0
495,0.0,0,0.0
496,26.0,0,-5.0
497,0.0,0,19.0
498,0.0,0,14.0
499,27.0,0,4.0
500,24.0,0,7.0
501,29.0,1,12.0
502,26.0,0,5.0
503,0.0,0,0.0
504,0.0,0,0.0
505,0.0,0,0.0
506,0.0,0,4.0
507,14.0,0,17.0
508,0.0,0,0.0
509,0.0,0,0.0
510,0.0,0,3.0
511,0.0,0,28.0
512,30.0,1,30.0
513,0.0,0,0.0
514,24.0,0,7.0
515,0.0,0,0.0
516,0.0,0,4.0
517,0.0,1,0.0
518,0.0,0,21.0
519,0.0,1,0.0
520,31.0,0,0.0
521,28.0,1,-3.0
522,20.0,0,-20.0
523,0.0,0,12.0
524,0.0,0,0.0
525,0.0,0,0.0
526,12.0,0,18.0
527,5.0,0,1.0
528,15.0,0,-15.0
529,31.0,0,0.0
530,0.0,0,0.0
531,26.0,0,-1.0
532,20.0,0,11.0
533,19.0,0,12.0
534,0.0,0,31.0
535,31.0,1,31.0
536,18.0,0,1.0
537,31.0,0,-20.0
538,29.0,0,2.0
539,4.0,0,27.0
540,10.0,0,-8.0
541,31.0,0,0.0
542,0.0,0,0.0
543,0.0,0,0.0
544,26.0,0,5.0
545,8.0,0,12.0
546,0.0,0,4.0
547,31.0,1,9.0
548,24.0,0,7.0
549,19.0,0,-15.0
550,0.0,1,0.0
551,24.0,0,-24.0
552,0.0,0,0.0
553,22.0,0,-9.0
554,19.0,0,11.0
555,2.0,0,-1.0
556,26.0,0,-16.0
557,0.0,0,0.0
558,0.0,0,0.0
559,22.0,0,9.0
560,13.0,0,-11.0
561,31.0,0,0.0
562,0.0,0,0.0
563,31.0,0,0.0
564,0.0,0,15.0
565,15.0,0,-7.0
566,0.0,0,0.0
567,20.0,0,11.0
568,11.0,0,-4.0
569,5.0,0,14.0
570,0.0,0,0.0
571,0.0,1,-12.0
572,16.0,0,15.0
573,13.0,0,9.0
574,0.0,0,11.0
575,30.0,0,-30.0
576,12.0,0,7.0
577,29.0,0,2.0
578,6.0,0,7.0
579,29.0,0,-4.0
580,29.0,1,29.0
581,0.0,0,8.0
582,24.0,1,14.0
583,26.0,0,5.0
584,2.0,0,25.0
585,0.0,0,0.0
586,11.0,0,10.0
587,0.0,0,0.0
588,31.0,0,-31.0
589,13.0,0,8.0
590,0.0,1,-4.0
591,19.0,0,-12.0
592,31.0,0,-31.0
593,0.0,0,0.0
594,30.0,0,-12.0
595,3.0,0,-1.0
596,0.0,0,0.0
597,0.0,0,0.0
598,0.0,0,0.0
599,28.0,0,3.0
600,30.0,0,-9.0
601,31.0,0,-1.0
602,2.0,0,29.0
603,20.0,0,-20.0
604,0.0,0,0.0
605,25.0,0,-24.0
606,19.0,0,-10.0
607,0.0,1,0.0
608,28.0,0,-1.0
609,22.0,0,-3.0
610,31.0,0,-31.0
611,26.0,0,5.0
612,27.0,0,-27.0
613,31.0,0,0.0
614,0.0,0,3.0
615,16.0,0,15.0
616,14.0,0,17.0
617,5.0,0,-5.0
618,1.0,0,11.0
619,12.0,0,4.0
620,10.0,1,-17.0
621,31.0,0,-31.0
622,0.0,0,25.0
623,0.0,0,31.0
624,17.0,0,-9.0
625,25.0,0,-5.0
626,0.0,0,0.0
627,31.0,1,0.0
628,0.0,0,31.0
629,3.0,0,-3.0
630,0.0,0,0.0
631,24.0,0,-14.0
632,6.0,0,4.0
633,31.0,0,0.0
634,1.0,0,26.0
635,15.0,0,-7.0
636,0.0,0,0.0
637,7.0,0,16.0
638,0.0,0,16.0
639,18.0,0,-9.0
640,21.0,0,5.0
641,10.0,1,10.0
642,20.0,0,11.0
643,29.0,0,2.0
644,13.0,1,13.0
645,18.0,0,5.0
646,9.0,0,-9.0
647,0.0,0,19.0
648,19.0,0,3.0
649,0.0,0,25.0
650,13.0,0,-13.0
651,22.0,0,-17.0
652,28.0,0,3.0
653,0.0,1,-8.0
654,0.0,0,0.0
655,28.0,0,-11.0
656,0.0,1,0.0
657,20.0,0,-6.0
658,25.0,0,-25.0
659,23.0,0,3.0
660,7.0,0,3.0
661,4.0,0,27.0
662,0.0,0,31.0
663,0.0,0,9.0
664,0.0,0,22.0
665,13.0,0,-13.0
666,0.0,0,14.0
667,0.0,0,29.0
668,8.0,0,21.0
669,0.0,0,5.0
670,0.0,0,0.0
671,0.0,1,0.0
672,20.0,0,1.0
673,0.0,0,11.0
674,31.0,0,0.0
675,11.0,0,-2.0
676,25.0,0,-25.0
677,31.0,1,6.0
678,26.0,0,-21.0
679,20.0,0,-20.0
680,16.0,0,15.0
681,0.0,0,27.0
682,29.0,0,2.0
683,0.0,0,24.0
684,19.0,0,10.0
685,15.0,0,-15.0
686,0.0,0,5.0
687,15.0,0,-15.0
688,30.0,0,-14.0
689,21.0,0,-21.0
690,31.0,1,1.0
691,31.0,0,0.0
692,0.0,0,0.0
693,31.0,0,0.0
694,3.0,0,-3.0
695,31.0,0,-24.0
696,31.0,0,0.0
697,15.0,0,16.0
698,0.0,0,22.0
699,31.0,0,0.0
700,18.0,0,-18.0
701,0.0,0,0.0
702,0.0,0,0.0
703,15.0,0,-2.0
704,15.0,0,7.0
705,24.0,1,-7.0
706,14.0,0,-14.0
707,0.0,0,10.0
708,24.0,0,7.0
709,3.0,1,3.0
710,16.0,0,-15.0
711,18.0,0,-0.0
712,0.0,0,1.0
713,27.0,0,4.0
714,0.0,0,16.0
715,19.0,0,0.0
716,0.0,0,0.0
717,14.0,0,-5.0
718,0.0,0,9.0
719,1.0,0,-1.0
720,29.0,0,2.0
721,2.0,1,-15.0
722,30.0,0,1.0
723,0.0,0,12.0
724,15.0,1,4.0
725,0.0,0,18.0
726,7.0,0,19.0
727,11.0,0,3.0
728,15.0,0,16.0
729,0.0,0,16.0
730,22.0,0,8.0
731,9.0,0,0.0
732,29.0,0,-27.0
733,25.0,0,4.0
734,26.0,0,5.0
735,0.0,1,-2.0
736,31.0,1,29.0
737,0.0,0,0.0
738,28.0,0,-25.0
739,18.0,0,-10.0
740,0.0,0,0.0
741,2.0,0,-1.0
742,24.0,0,-20.0
743,0.0,0,2.0
744,0.0,0,0.0
745,6.0,0,-6.0
746,0.0,0,11.0
747,0.0,0,0.0
748,0.0,0,18.0
749,2.0,0,21.0
750,20.0,0,-14.0
751,0.0,0,0.0
752,7.0,0,22.0
753,23.0,0,8.0
754,0.0,0,0.0
755,0.0,0,5.0
756,26.0,0,5.0
757,30.0,0,-30.0
758,28.0,0,-13.0
759,0.0,0,31.0
760,0.0,0,5.0
761,0.0,0,1.0
762,9.0,0,22.0
763,26.0,0,-14.0
764,24.0,0,-24.0
765,0.0,0,31.0
766,25.0,0,-16.0
767,0.0,0,0.0
768,0.0,0,31.0
769,0.0,0,8.0
770,15.0,0,5.0
771,0.0,1,-1.0
772,0.0,0,16.0
773,30.0,0,1.0
774,27.0,0,-13.0
775,17.0,0,-17.0
776,29.0,0,2.0
777,0.0,0,0.0
778,2.0,0,4.0
779,14.0,1,3.0
780,29.0,0,2.0
781,26.0,1,7.0
782,0.0,0,9.0
783,0.0,0,31.0
784,28.0,0,-24.0
785,0.0,0,3.0
786,6.0,0,9.0
787,0.0,0,0.0
788,0.0,0,0.0
789,19.0,0,-7.0
790,0.0,0,0.0
791,6.0,0,25.0
792,0.0,0,5.0
793,13.0,0,18.0
794,0.0,0,0.0
795,0.0,0,0.0
796,31.0,1,25.0
797,10.0,0,-8.0
798,0.0,0,31.0
799,0.0,1,-20.0
800,0.0,0,0.0
801,0.0,0,31.0
802,0.0,0,31.0
803,0.0,0,13.0
804,17.0,1,-14.0
805,29.0,0,-1.0
806,0.0,0,21.0
807,31.0,1,1.0
808,24.0,0,7.0
809,0.0,1,0.0
810,31.0,0,0.0
811,0.0,0,31.0
812,31.0,1,31.0
813,17.0,0,14.0
814,24.0,0,7.0
815,3.0,0,-3.0
816,0.0,0,0.0
817,15.0,0,-15.0
818,0.0,0,13.0
819,7.0,0,24.0
820,15.0,0,-3.0
821,0.0,0,0.0
822,0.0,0,6.0
823,27.0,0,-3.0
824,0.0,0,0.0
825,4.0,0,27.0
826,0.0,0,31.0
827,0.0,0,31.0
828,0.0,0,0.0
829,0.0,0,11.0
830,25.0,0,-25.0
831,31.0,0,0.0
832,0.0,0,0.0
833,0.0,0,31.0
834,0.0,0,9.0
835,10.0,1,10.0
836,31.0,0,-31.0
837,26.0,0,5.0
838,0.0,1,0.0
839,0.0,1,-1.0
840,0.0,1,0.0
841,0.0,0,31.0
842,0.0,0,6.0
843,18.0,1,-13.0
844,23.0,0,8.0
845,0.0,0,31.0
846,5.0,0,-2.0
847,0.0,0,0.0
848,29.0,0,-26.0
849,14.0,0,2.0
850,11.0,0,20.0
851,27.0,0,0.0
852,0.0,0,0.0
853,0.0,0,0.0
854,29.0,0,-28.0
855,0.0,0,29.0
856,31.0,0,0.0
857,0.0,0,12.0
858,31.0,0,-31.0
859,20.0,0,11.0
860,10.0,1,10.0
861,0.0,0,31.0
862,26.0,0,5.0
863,27.0,0,-5.0
864,25.0,0,6.0
865,0.0,0,11.0
866,0.0,1,0.0
867,0.0,1,0.0
868,31.0,1,15.0
869,19.0,0,12.0
870,22.0,0,-0.0
871,5.0,0,26.0
872,31.0,0,-5.0
873,0.0,0,0.0
874,0.0,0,0.0
875,31.0,0,-5.0
876,31.0,0,0.0
877,0.0,0,30.0
878,0.0,0,0.0
879,19.0,0,12.0
880,0.0,0,11.0
881,20.0,0,11.0
882,7.0,0,-7.0
883,6.0,1,6.0
884,21.0,0,10.0
885,0.0,0,23.0
886,31.0,1,4.0
887,0.0,0,0.0
888,0.0,0,0.0
889,18.0,1,18.0
890,4.0,0,-4.0
891,7.0,0,13.0
892,18.0,0,13.0
893,19.0,0,12.0
894,0.0,0,0.0
895,12.0,0,-11.0
896,30.0,0,-6.0
897,29.0,0,2.0
898,0.0,0,9.0
899,5.0,0,-5.0
900,0.0,0,0.0
901,0.0,1,0.0
902,0.0,0,0.0
903,24.0,0,-24.0
904,5.0,1,-15.0
905,16.0,0,-16.0
906,0.0,0,1.0
907,0.0,1,0.0
908,0.0,0,6.0
909,0.0,0,0.0
910,1.0,0,18.0
911,0.0,1,0.0
912,0.0,0,0.0
913,0.0,0,0.0
914,25.0,0,2.0
915,0.0,0,19.0
916,0.0,0,31.0
917,11.0,0,6.0
918,0.0,0,0.0
919,0.0,0,21.0
920,21.0,0,-0.0
921,0.0,0,0.0
922,1.0,0,21.0
923,17.0,0,-10.0
924,3.0,0,-3.0
925,8.0,0,-4.0
926,0.0,0,0.0
927,0.0,0,0.0
928,28.0,0,-18.0
929,0.0,0,0.0
930,0.0,0,0.0
931,0.0,0,0.0
932,18.0,0,13.0
933,0.0,0,10.0
934,0.0,0,2.0
935,29.0,0,2.0
936,28.0,0,-28.0
937,0.0,0,7.0
938,0.0,0,31.0
939,27.0,0,4.0
940,0.0,0,29.0
941,8.0,0,-8.0
942,31.0,0,0.0
943,0.0,1,0.0
944,0.0,0,28.0
945,0.0,0,7.0
946,0.0,0,23.0
947,0.0,0,0.0
948,0.0,0,0.0
949,0.0,0,0.0
950,0.0,0,14.0
951,24.0,0,7.0
952,2.0,0,10.0
953,0.0,0,30.0
954,0.0,0,19.0
955,28.0,0,3.0
956,0.0,0,16.0
957,0.0,0,0.0
958,6.0,0,25.0
959,0.0,0,8.0
960,31.0,0,0.0
961,31.0,0,-1.0
962,0.0,0,0.0
963,0.0,1,0.0
964,25.0,0,-3.0
965,31.0,1,12.0
966,0.0,0,0.0
967,12.0,0,6.0
968,14.0,0,17.0
969,31.0,0,0.0
970,13.0,0,-0.0
971,23.0,0,8.0
972,0.0,0,1.0
973,26.0,0,5.0
974,18.0,0,5.0
975,31.0,0,-20.0
976,0.0,0,31.0
977,0.0,0,13.0
978,21.0,0,10.0
979,0.0,0,10.0
980,0.0,0,31.0
981,0.0,0,8.0
982,0.0,0,31.0
983,0.0,0,31.0
984,0.0,0,31.0
985,0.0,0,4.0
986,0.0,0,0.0
987,9.0,0,-2.0
988,18.0,1,18.0
989,0.0,0,6.0
990,31.0,0,-12.0
991,21.0,0,-11.0
992,0.0,0,0.0
993,3.0,0,-3.0
994,31.0,0,0.0
995,14.0,0,17.0
996,14.0,0,17.0
997,14.0,0,-3.0
998,0.0,0,8.0
999,0.0,0,5.0
1000,27.0,0,4.0
1001,0.0,0,9.0
1002,16.0,0,15.0
1003,0.0,0,2.0
1004,0.0,0,0.0
1005,19.0,0,12.0
1006,26.0,0,5.0
1007,0.0,1,-11.0
1008,20.0,0,11.0
1009,17.0,0,10.0
1010,0.0,0,24.0
1011,19.0,0,-19.0
1012,1.0,0,-1.0
1013,0.0,1,0.0
1014,31.0,0,0.0
1015,30.0,0,-26.0
1016,0.0,0,29.0
1017,13.0,0,18.0
1018,0.0,0,20.0
1019,7.0,0,23.0
1020,0.0,0,0.0
1021,0.0,1,0.0
1022,31.0,0,-31.0
1023,0.0,0,21.0
1024,0.0,0,26.0
1025,13.0,0,13.0
1026,0.0,0,0.0
1027,0.0,0,1.0
1028,0.0,0,24.0
1029,27.0,0,-27.0
1030,0.0,0,7.0
1031,0.0,0,18.0
1032,0.0,0,0.0
1033,30.0,0,-14.0
1034,27.0,0,4.0
1035,16.0,0,15.0
1036,5.0,0,26.0
1037,19.0,0,7.0
1038,0.0,0,0.0
1039,30.0,0,1.0
1040,20.0,0,-17.0
1041,0.0,0,0.0
1042,24.0,0,7.0
1043,5.0,0,26.0
1044,2.0,0,6.0
1045,31.0,0,0.0
1046,3.0,0,-3.0
1047,19.0,0,-3.0
1048,9.0,0,0.0
1049,14.0,0,-14.0
1050,6.0,0,-6.0
1051,30.0,0,-9.0
1052,6.0,0,7.0
1053,10.0,1,10.0
1054,4.0,1,4.0
1055,10.0,1,-5.0
1056,3.0,0,-3.0
1057,16.0,0,6.0
1058,0.0,0,31.0
1059,31.0,0,0.0
1060,0.0,0,0.0
1061,0.0,0,5.0
1062,0.0,0,10.0
1063,7.0,0,24.0
1064,31.0,0,-12.0
1065,31.0,0,0.0
1066,6.0,0,16.0
1067,0.0,0,0.0
1068,12.0,0,-1.0
1069,4.0,0,-4.0
1070,31.0,0,0.0
1071,14.0,0,12.0
1072,0.0,0,0.0
1073,30.0,0,-2.0
1074,0.0,0,31.0
1075,23.0,0,1.0
1076,0.0,0,0.0
1077,0.0,0,31.0
1078,0.0,0,0.0
1079,31.0,0,0.0
1080,25.0,0,6.0
1081,10.0,0,-7.0
1082,0.0,0,0.0
1083,0.0,0,0.0
1084,0.0,0,11.0
1085,0.0,0,3.0
1086,7.0,0,-4.0
1087,0.0,0,31.0
1088,31.0,0,0.0
1089,16.0,0,15.0
1090,29.0,0,2.0
1091,18.0,0,6.0
1092,0.0,0,0.0
1093,0.0,0,0.0
1094,0.0,0,3.0
1095,0.0,0,31.0
1096,29.0,1,29.0
1097,19.0,0,-1.0
1098,0.0,0,0.0
1099,0.0,0,23.0
1100,7.0,0,24.0
1101,7.0,0,-7.0
1102,31.0,1,5.0
1103,0.0,0,10.0
1104,0.0,0,2.0
1105,1.0,0,-1.0
1106,0.0,0,0.0
1107,15.0,0,-9.0
1108,0.0,0,31.0
1109,19.0,0,-19.0
1110,31.0,0,-7.0
1111,0.0,0,4.0
1112,0.0,1,-5.0
1113,0.0,0,0.0
1114,0.0,0,0.0
1115,18.0,1,18.0
1116,0.0,0,16.0
1117,0.0,0,0.0
1118,31.0,0,0.0
1119,19.0,0,-19.0
1120,11.0,0,-11.0
1121,0.0,0,0.0
1122,0.0,0,14.0
1123,18.0,0,-18.0
1124,8.0,0,-0.0
1125,1.0,0,8.0
1126,0.0,0,27.0
1127,22.0,0,-8.0
